,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
10,MEX89367,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Miguel Hidalgo,,Ciudad de Mexico - Miguel Hidalgo,19.4073,-99.1908,1,La Jornada,National,"On 26 June 2024, in Ciudad de Mexico - Miguel Hidalgo, residents of colonia Escandon symbolically closed an establishment owned by the family of Mayor as a protest against the opening of the business despite the fact that it violates the regulations of use of land. The demonstration took place in the parking lot of the business and concluded with the placement of stamps with the legend 'closed for illegal'.",0,crowd size=no report,1721691365
11,MEX89334,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Teachers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Durango,Durango,,Victoria de Durango,24.0240,-104.6702,1,El Siglo de Durango,Subnational,"On 26 June 2024, in Victoria de Durango, Durango, a group of teachers demonstrated outside the facilities of the Department of Education of the State of Durango, after the supervisor of special education was dismissed for denouncing acts of corruption schemes. According to the supervisor, there was no tender and instead there was a direct contract with a company that is not registered with the Treasury and that is delivering poor quality material. The director of Basic Education denied that the supervisor has been discharged, instead he was removed from the duties and was sent to the special school where he is a director.",0,crowd size=no report,1732580204
12,MEX89371,2024-06-26,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Sinaloa,Navolato,,Navolato,24.7672,-107.6968,1,El Sol de Sinaloa,Subnational,"On 26 June 2024, in Navolato, Sinaloa, relatives of a teacher who was abducted (coded separately) demonstrated to demand his release.",0,crowd size=no report,1733203866
13,MEX89266,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),CNTE: National Coordination of Education Workers; SNTE: National Union of Education Workers; Teachers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Chiapas,Tuxtla Gutierrez,,Tuxtla Gutierrez,16.7540,-93.1152,1,Diario Contra Poder en Chiapas; El Universal (Mexico); Milenio,Subnational-National,"On 25 June 2024, in Tuxtla Gutierrez, Chiapas, teachers from the National Coordination of Education Workers and the National Union of Education Workers marched to demand that the state and federal governments revise the educational reform, as well as the reactivation of savings and social benefits, the rehiring of at least five thousand teachers, and more security in the workplaces, mainly for teachers located in the regions of the Sierra Fronteriza. The march started at the Diana Cazadora and culminated in the Zocalo.",0,crowd size=no report,1719876473
14,MEX89269,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Farmers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Hidalgo,El Arenal,,El Jiadi,20.2458,-98.9286,1,El Universal (Mexico),National,"On 25 June 2024, in El Jiadi, Hidalgo, farmers blocked the Pacucha-Octopan highway demanding compliance with the agreements reached some weeks ago including access to water for irrigation, and the dismissal of the head of the irrigation module.",0,crowd size=no report,1719876473
15,MEX89270,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Farmers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Tamaulipas,San Fernando,,San Fernando,24.8487,-98.1596,2,El Norte; El Universal (Mexico); Hoy Tamaulipas; La Jornada; Milenio,Subnational-National,"On 25 June 2024, near San Fernando, Tamaulipas, around 150 farmers blocked the kilometer 188 of the Federal highway 101 Victoria-Matamoros after the Ministry of Agriculture and Rural Development failed to deliver resources for the commercialization of the sorghum harvest.",0,crowd size=around 150,1719876473
16,MEX89361,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Acapulco de Juarez,,Acapulco de Juarez,16.8619,-99.8866,1,El Sol de Acapulco; La Jornada,Subnational-National,"On 25 June 2024, in Acapulco de Juarez, Guerrero, around 400 people demonstrated at the Boulevard of Nations to demand payment of support for the reconstruction of homes after the Hurricane Otis. The demonstrators said that they have been coming for several weeks to request the payments but nothing has happened. The protesters were mostly women from colonias Izazaga, Progreso, Jardin, Pedregoso, among others.",0,crowd size=around 400,1719876535
17,MEX89362,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Hidalgo,Tula de Allende,,Tula de Allende,20.0552,-99.3432,1,Milenio,National,"On 25 June 2024, in Tula de Allende, Hidalgo, residents from Pemex Housing Unit protested to demand that the mayor connect them to the Municipal Drinking Water and Sewage Commission network, since they had already paid their contracts and they haven't seen any improvements.",0,crowd size=no report,1719876535
18,MEX89364,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Puebla,Tepeaca,,Zahuatlan de Morelos,18.9828,-97.8669,1,E-Consulta,Subnational,"On 25 June 2024, in Zahuatlan de Morelos, Puebla, for the second consecutive day, parents of students of the Digital Baccalaureate number 45,took over the facilities to protest against the refusal of the supervisor to allow students to take classes in the new and improved campus facilities, which were inaugurated almost a year ago.",0,crowd size=no report,1719876535
19,MEX89365,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Veracruz de Ignacio de la Llave,Cordoba,,Cordoba,18.8944,-96.9353,1,Imagen del Golfo,Subnational,"On 25 June 2024, in Cordoba, Veracruz de Ignacio de la Llave, around 15 relatives and friends of a teacher who was arrested for sexual violence at a private school in Colonia Santa Leticia, protested in front of the facilities of the Regional Prosecutor's Office, claiming he is innocent and should be released.",0,crowd size=around 15,1719876535
20,MEX89392,2024-06-25,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Mexico),,Rioters,Civilians (Mexico),Government of Mexico (2018-),Civilians,Rioters-Civilians,,484,North America,Mexico,Hidalgo,Tula de Allende,,Tula de Allende,20.0552,-99.3432,1,Milenio,National,"On 25 June 2024, in Tula de Allende, Hidalgo, residents from El Llano community detained the director of the Municipal Drinking Water and Sewage Commission for a few hours as part of a demonstration against the lack of drinking water. The director committed to providing water to the community with support from pipes from the operating agency. Residents of the colonia Barrio Alto also demanded that Capyat solve the water supply which has been an ongoing problem for two weeks.",0,crowd size=no report; local administrators,1719876535
21,MEX89326,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Otomi Indigenous Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Alvaro Obregon,,Ciudad de Mexico - Alvaro Obregon,19.3908,-99.1954,1,La Jornada,National,"On 25 June 2024, in Ciudad de Mexico - Alvaro Obregon, members of the Otomi Indigenous community, who took over the building of the National Institute of Indigenous Peoples almost four years ago, blocked the Cuauhtemoc Avenue after the electricity supply in the building was cut off. They said that they fear that there could be a violent eviction.",0,crowd size=no report,1721691365
22,MEX89363,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Mexico,Chalco,,San Martin Cuautlalpan,19.2762,-98.8317,2,La Jornada,National,"On 25 June 2024, near San Martin Cuautlalpan, Mexico, residents of Pueblo Nuevo community demonstrated against the construction of a public interest housing project in the area as this has caused several damages in their houses and the government keeps granting building permissions. The demonstrators blamed the Morena mayor for favoring construction companies, so they demand the state government for the intervention of the Geology Institute of the National Autonomous University of Mexico in the construction.",0,crowd size=no report,1722898718
23,MEX89390,2024-06-25,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Mexico),Labor Group (Mexico),Rioters,Civilians (Mexico),,Civilians,Rioters-Civilians,,484,North America,Mexico,Ciudad de Mexico,Miguel Hidalgo,,Ciudad de Mexico - Miguel Hidalgo,19.4073,-99.1908,1,24 Horas (Mexico); 8 Columnas; GardaWorld; La Silla Rota; Milenio,Other-National,"On 25 June 2024, in Ciudad de Mexico - Miguel Hidalgo, a group of cleaning workers from the National Polytechnic Institute blocked central lanes of the Interior Circuit near the Casco de Santo Tomas to demand work improvements and the payment of pending payments. They attacked a private vehicle and motorcycle drivers who tried to cross. One of the drivers ran over some of the demonstrators and left six of them injured. 6 injured.",0,crowd size=no report,1729632791
24,MEX89268,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Farmers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Hidalgo,Actopan,,Actopan,20.2687,-98.9431,2,El Sol de Hidalgo; El Universal (Mexico); Milenio,Subnational-National,"On 25 June 2024, near Actopan, Hidalgo, farmers blocked the Actopan-Progreso highway demanding compliance with the agreements reached some weeks ago including access to water for irrigation, and the dismissal of the head of the irrigation module.",0,crowd size=no report,1733789062
25,MEX89366,2024-06-25,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Veracruz de Ignacio de la Llave,Orizaba,,Orizaba,18.8510,-97.0989,1,Imagen del Golfo,Subnational,"On 25 June 2024, in Orizaba, Veracruz de Ignacio de la Llave, representatives of two families who were expropriated from their land in the Atzacan ejido to favor two people after a judicial process, demonstrated at Apolinar Castillo park demanding justice.",0,crowd size=no report,1733789062
26,MEX89277,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Journalists (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Baja California,Tijuana,,Tijuana,32.5325,-117.0190,1,Milenio,National,"On 24 June 2024, in Tijuana, Baja California, friends and journalists protested at the Attorney General's Office (FGR) to demand justice for the death of a journalist who was killed after leaking identities of 20 members of the Arellano Felix cartel 20 years earlier.",0,crowd size=no report,1719876473
27,MEX89280,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Chiapas,Tuxtla Gutierrez,,Tuxtla Gutierrez,16.7540,-93.1152,1,Diario Contra Poder en Chiapas,Subnational,"On 24 June 2024, in Tuxtla Gutierrez, Chiapas, members of the CECyTECh Administrative Union took over the Local Conciliation and Arbitration Board, demanding answers to their claims related to a labor conflict that has been ongoing for 54 days.",0,crowd size=no report,1719876473
28,MEX89281,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Coyoacan,,Ciudad de Mexico - Coyoacan,19.3502,-99.1621,1,24 Horas (Mexico),National,"On 24 June 2024, in Ciudad de Mexico - Coyoacan, cleaning workers protested outside the Cecyt 13 of the National Polytechnic Institute to demand the payment of their salaries.",0,crowd size=no report,1719876473
29,MEX89282,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Acapulco de Juarez,,Acapulco de Juarez,16.8619,-99.8866,1,El Sol de Acapulco; La Jornada; Reforma,Subnational-National,"On 24 June 2024, in Acapulco de Juarez, Guerrero, merchants protested and blocked Vicente Guerrero boulevard to demand permanent security from authorities due to ongoing exposure to extortion by organized crime groups after drones were used to drop explosive devices at the Central de Abastos market in Colonia Vacacional the day before (coded separately).",0,crowd size=no report,1719876473
30,MEX89283,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Hidalgo,Pachuca de Soto,,Pachuca de Soto,20.1224,-98.7370,1,24 Horas (Mexico),National,"On 24 June 2024, in Pachuca de Soto, Hidalgo, owners of bars, clubs and restaurants demonstrated against the new schedule for the selling of alcohol established by the mayor, as they said that sales would decrease by 30 percent and that it would worsen the alcohol consumption.",0,crowd size=no report,1719876473
31,MEX89284,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Sinaloa,Mazatlan,,Mazatlan,23.2003,-106.4222,1,Riodoce,Subnational,"On 24 June 2024, in Mazatlan, Sinaloa, union members of the Mazatlan City Hall Workers Union (Stasam) protested to demand dialogue with the mayor and to demand respect for their labor rights and end to labor abuse outside City hall.",0,crowd size=no report,1719876473
32,MEX89304,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Lawyers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Puebla,Puebla,,Heroica Puebla de Zaragoza,19.0440,-98.1975,1,E-Consulta,Subnational,"On 24 June 2024, in Heroica Puebla de Zaragoza, Puebla, more than 50 lawyers of the Federal Conciliation and Arbitration Board (JFCA) protested against the closure of the building and the transfer of the property to Tlaxcala and Oaxaca.",0,crowd size=more than 50,1719876535
33,MEX89333,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Teachers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Baja California,Mexicali,,Mexicali,32.6412,-115.4760,1,AFN - Tijuana,Subnational,"On 24 June 2024, in Mexicali, Baja California, teachers protested outside the Ministry of Education against the more than 50% cut of the Inputs and Maintenance Program for the Improvement of the Educational Environment (PIMMEE) and demanded its restitution.",0,crowd size=no report,1719876535
34,MEX89357,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Baja California,Mexicali,,Mexicali,32.6412,-115.4760,1,AFN - Tijuana,Subnational,"On 24 June 2024, in Mexicali, Baja California, members of pro-life and pro-family associations protested against the reform for trans children that would allow minors to modify their gender identity on their birth certificate without the consent of parents or a guardian.",0,crowd size=no report,1719876535
35,MEX89358,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Acapulco de Juarez,,Acapulco de Juarez,16.8619,-99.8866,1,El Sol de Acapulco,Subnational,"On 24 June 2024, in Acapulco de Juarez, Guerrero, more than 30 victims of Hurricane Otis protested and blocked the coastline to demand the delivery of household goods and more government support.",0,crowd size=more than 30,1719876535
36,MEX89359,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Puebla,Tepeaca,,Zahuatlan de Morelos,18.9828,-97.8669,1,E-Consulta,Subnational,"On 24 June 2024, in Zahuatlan de Morelos, Puebla, parents of students of the Digital Baccalaureate number 45 took over the facilities to protest against the refusal of the supervisor to allow students to take classes in the new and improved campus facilities, which were inaugurated almost a year ago.",0,crowd size=no report,1719876535
37,MEX89360,2024-06-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Tamaulipas,Ciudad Madero,,Ciudad Madero,22.2463,-97.8370,1,Hoy Tamaulipas,Subnational,"On 24 June 2024, in Ciudad Madero, Tamaulipas, parents protested outside a primary school to demand the dismissal of the director accused of misusing the school campus.",0,crowd size=no report,1719876535
38,MEX89389,2024-06-24,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Mexico),Farmers (Mexico),Rioters,Civilians (Mexico),Government of Mexico (2018-),Civilians,Rioters-Civilians,,484,North America,Mexico,Veracruz de Ignacio de la Llave,Perote,,San Antonio Limon,19.5019,-97.3475,1,El Norte; El Proceso; Imagen del Golfo; La Jornada,Subnational-National,"On 24 June 2024, in San Antonio Limon, Veracruz de Ignacio de la Llave, for a fourth consecutive day, rioters, residents of Perote and farmers detained the Mayor in a demonstration against the operations of the company 'Granjas Carrol' and the use of water from the border area of Veracruz and Puebla, demanding that they leave the area. The members of the 'Movement in Defense of the Water of the Free-Eastern Basin', farmers and residents demonstrated and blocked the Xalapa-Perote highway with stones, banners and vehicles to demand justice for the death of two farmers during a demonstration last week.",0,crowd size=no report; local administrators,1719876535
39,MEX89391,2024-06-24,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Mexico),,Rioters,Civilians (Mexico),Government of Mexico (2018-),Civilians,Rioters-Civilians,,484,North America,Mexico,Guerrero,San Luis Acatlan,,Pascala del Oro,17.0551,-98.8089,1,El Proceso; La Jornada,National,"On 24 June 2024, in Pascala del Oro, Guerrero, residents held two municipal officials for four days to request a change in the management of the budget for works. The municipal director of Public Works and the department supervisor were detained by local residents when they went to the community to report on the state of the paving.",0,crowd size=no report; local administrators,1726526137
40,MEX89325,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),LGBTQ+ (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Sinaloa,Mazatlan,,Mazatlan,23.2003,-106.4222,1,Noroeste,Subnational,"On 23 June 2024, in Mazatlan, Sinaloa, hundreds of members of the LGBTQ+ community protested to commemorate pride month and to demand respect and safety for their sexual orientation and gender identity.",0,crowd size=hundreds,1719876535
41,MEX89329,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Students (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Benito Juarez,,Ciudad de Mexico - Benito Juarez,19.3720,-99.1579,1,El Universal (Mexico),National,"On 23 June 2024, in Ciudad de Mexico - Benito Juarez, more than 600 normal rural students protested outside the Secretary of Education. There is no information on the motivation for the protest.",0,crowd size=more than 600,1719876535
42,MEX89342,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Women (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Puebla,Puebla,,Heroica Puebla de Zaragoza,19.0440,-98.1975,1,E-Consulta,Subnational,"On 23 June 2024, in Heroica Puebla de Zaragoza, Puebla, at least five women and one man protested during a concert to denounce the sexual abuse of the general director of the Puebla Philharmonic Orchestra.",0,crowd size=at least 6,1719876535
43,MEX89351,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Guerrero,Malinaltepec,,Malinaltepec,17.2450,-98.6709,1,El Sol de Acapulco,Subnational,"On 23 June 2024, in Malinaltepec, Guerrero, dozens of residents protested during the arrival of the coffin of the mayor who was killed days earlier (coded separately) to demand justice and the clarification of facts.",0,crowd size=dozens,1719876535
44,MEX89352,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Nuevo Leon,Cadereyta Jimenez,,Cadereyta Jimenez,25.5910,-100.0016,1,El Norte,Subnational,"On 23 June 2024, in Cadereyta Jimenez, Nuevo Leon, for a second consecutive day, residents of Colonia Palmanova protested and blocked a highway to demand the restoration of electricity services.",0,crowd size=no report,1719876535
45,MEX89353,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Nuevo Leon,Monterrey,,Monterrey,25.6647,-100.3110,1,El Norte,Subnational,"On 23 June 2024, in Monterrey, Nuevo Leon, around 30 residents of Colonia Ampliacion Nogales protested to demand the restoration of electricity during the tropical storm Alberto.",0,crowd size=around 30,1719876535
46,MEX89354,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Sinaloa,Mazatlan,,Mazatlan,23.2003,-106.4222,1,Riodoce,Subnational,"On 23 June 2024, in Mazatlan, Sinaloa, citizens protested against the construction of a zipline which will affect the Mazatlan lighthouse.",0,crowd size=no report,1719876535
47,MEX89355,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Veracruz de Ignacio de la Llave,Cuitlahuac,,Cuitlahuac,18.8145,-96.7223,1,Imagen del Golfo,Subnational,"On 23 June 2024, in Cuitlahuac, Veracruz de Ignacio de la Llave, family and friends protested in Colonia Centro to demand the release of four people arrested for their involvement in the kidnapping of a woman.",0,crowd size=no report,1719876535
48,MEX89356,2024-06-23,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),,Protesters,,,,Protesters only,,484,North America,Mexico,Veracruz de Ignacio de la Llave,Xalapa,,Xalapa-Enriquez,19.5271,-96.9226,1,Imagen del Golfo,Subnational,"On 23 June 2024, in Xalapa-Enriquez, Veracruz de Ignacio de la Llave, residents protested against the construction of the Forensic Medical Service (Semefo) in Colonia Alvaro Obregon and denounced the environmental damage it would cause.",0,crowd size=no report,1733203866
49,MEX89267,2024-06-22,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Farmers (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Veracruz de Ignacio de la Llave,Perote,,San Antonio Limon,19.5019,-97.3475,2,La Jornada; La Silla Rota,National,"On 22 June 2024, close to San Antonio Limon, Veracruz de Ignacio de la Llave, for a second consecutive day, farmers and residents protested and blocked the Xalapa-Perote highway with stones, banners and vehicles to demand justice for the death of two farmers during a demonstration the day before.",0,crowd size=no report,1719876473
50,MEX89274,2024-06-22,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),FECSM: Federation of Socialist Peasant Students of Mexico; Students (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Benito Juarez,,Ciudad de Mexico - Benito Juarez,19.3720,-99.1579,1,El Universal (Mexico); La Jornada; Milenio,National,"On 22 June 2024, in Ciudad de Mexico - Benito Juarez, around 600 students and members of the FECSM protested and marched to the facilities of the Ministry of Public Education (SEP) in Colonia Xoco in commemoration of the anniversary of the FECSM and to demand justice and against the disappearance of rural normal schools in the country.",0,crowd size=around 600,1719876473
51,MEX89278,2024-06-22,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Labor Group (Mexico),Protesters,,,,Protesters only,,484,North America,Mexico,Ciudad de Mexico,Cuauhtemoc,,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,1,El Universal (Mexico),National,"On 22 June 2024, in Ciudad de Mexico - Cuauhtemoc, for a second consecutive day, merchants demonstrated at Paseo de la Reforma to demand a meeting with authorities and permission to sell their goods on public roads.",0,crowd size=no report,1719876473
